1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,STUDENT ID,STUDENT NAME,AGE,GENDER,YearLevel,Section,Date
3,3,1,4,4,1,2,3,5,5,4,5,2,2,1,2,5,3,1,3,5,4,3,2,3,1,1,5,2,2,5,1,1,1,1,1,4,3,1,5,4,2,3,4,5,5,1,5,3,4,20001,Allie,19,MALE,GRADE 10,HUMSS,3/26/2025
1,1,4,2,1,2,2,5,1,1,4,3,2,2,5,2,5,1,3,4,3,4,2,2,5,4,2,2,5,4,2,2,3,2,3,1,5,4,3,5,1,4,4,2,5,5,2,1,3,4,20002,Jaden,20,MALE,GRADE 10,STEM,3/26/2025
5,5,1,2,1,1,2,5,1,3,5,2,3,5,4,2,2,3,4,4,2,2,5,3,3,5,1,3,5,2,2,2,3,1,3,5,5,4,1,2,3,5,1,2,4,1,4,4,1,4,20003,Liza,20,MALE,GRADE 10,HUMSS,3/26/2025
4,2,2,3,3,2,4,2,2,3,3,4,3,1,3,2,1,2,2,5,1,4,4,5,2,4,1,4,5,2,1,3,5,2,5,1,1,2,2,5,5,2,3,5,4,1,1,3,1,1,20004,Daniel,16,FEMALE,GRADE 10,TVL,3/26/2025
4,5,5,4,3,1,5,2,5,5,3,4,2,5,5,4,3,2,2,2,3,2,2,4,3,4,1,4,1,2,4,3,3,1,2,2,4,5,4,2,2,4,3,1,4,3,2,2,5,2,20005,Zoe,16,MALE,GRADE 10,TVL,3/26/2025
4,4,4,2,5,3,1,1,2,4,5,3,1,2,1,2,3,2,2,3,4,4,4,2,2,2,3,5,3,1,2,3,1,1,5,5,4,1,2,3,4,1,4,3,2,1,4,1,5,5,20006,Noah,17,MALE,GRADE 10,HUMSS,3/26/2025
2,5,3,3,5,4,3,1,1,3,1,4,3,3,3,5,2,4,3,3,5,1,1,4,5,2,2,3,5,2,5,4,4,2,1,3,4,3,1,3,5,1,5,2,4,4,1,3,1,4,20007,Chloe,18,MALE,GRADE 10,ABM,3/26/2025
1,4,3,3,2,1,1,2,1,2,3,1,3,4,4,2,2,5,4,2,4,3,5,3,5,5,3,1,5,2,3,4,3,1,3,5,1,4,5,3,5,4,5,2,3,5,4,5,3,4,20008,Ethan,19,FEMALE,GRADE 10,GAS,3/26/2025
5,4,5,3,4,5,4,3,5,2,2,1,2,3,3,1,1,4,1,3,5,5,5,4,3,2,2,5,1,2,3,5,5,2,1,5,3,2,5,5,1,2,5,1,2,3,2,3,4,4,20009,Mira,20,MALE,GRADE 10,TVL,3/26/2025
5,1,1,5,1,5,5,1,2,3,3,1,2,3,4,1,4,3,4,3,5,5,1,4,1,4,4,5,5,5,1,4,3,1,1,5,1,3,2,4,3,1,2,3,2,2,4,5,4,5,20010,Lucas,17,FEMALE,GRADE 10,ABM,3/26/2025
